citric acid,density,pH,alcohol,Quality
0.18,0.9896,3.08,12.6,1
0.31,0.9968,3.08,9.3,0
0.48,0.9958,2.87,10,0
0.46,0.9906,3.12,12.7,1
0.45,0.9917,3.13,11,1
0.37,0.9902,3.03,11.4,0
0.43,0.9918,3.35,11.5,1
0.31,0.999,3.09,10.2,0
0.4,0.9927,3.11,11.4,1
0.47,0.991,3.03,12.6,0
0.3,0.9972,3.28,9.4,0
0.07,0.9931,3.11,8.7,0
0.32,0.995,3.19,9.2,1
0.31,0.9951,3.19,9.3,1
0.15,0.9936,3.09,9.2,0
0.4,1.001,2.93,8.7,0
0.4,0.9979,3.18,9.6,1
0.56,0.997,3.02,9.3,0
0.56,0.9972,3.02,9.3,0
0.41,0.9954,3.12,9.9,1
0.23,0.9924,3.15,11,0
0.35,0.9906,3.26,12.7,1
0.28,0.9962,3.09,8.9,0
0.28,0.9962,3.09,8.9,1
0.4,1.001,2.93,8.7,0
0.36,0.9928,3.02,11.4,1
0.34,0.9942,3.36,9.6,0
0.44,0.9942,3.02,9.1,0
0.45,0.9942,3.02,9.1,1
0.44,0.9942,3.01,9.1,0
0.24,0.9961,3.13,8.9,0
0.24,0.998,3.1,8.8,0
0.24,0.9961,3.13,8.9,0
0.26,0.9984,3.15,9.3,0
0.24,0.998,3.1,8.8,0
0.32,0.9973,3.2,9.6,0
0.34,0.9949,3.33,12,1
0.35,0.9924,3.28,10.2,0
0.5,0.9972,3.15,8.8,0
0.32,0.9958,3.21,9.2,0
0.88,0.9968,2.99,9.9,0
0.29,0.9938,3.32,10.2,0
0.31,0.993,3.22,9.5,1
0.25,0.994,3.31,10.5,0
0.38,0.9918,3.32,11.2,1
0.32,0.9958,3.21,9.2,0
0.29,0.9944,3.44,9.7,1
0.25,0.9912,3.3,11.1,1
0.24,0.9961,3.31,9.4,0
0.36,0.9939,3.03,11,0
0.24,0.9961,3.31,9.4,0
0.24,0.9989,3.31,9.4,0
0.36,0.9938,3.04,11,0
0.36,0.9939,3.03,11,0
0.21,0.9971,3,9.1,1
0.25,0.9912,3.3,11.1,1
0.3,0.9936,3.42,9.1,1
0.22,0.9929,3.39,10.4,1
0.41,0.9998,3.32,8.7,0
0.32,0.9938,3.5,9.7,1
0.32,0.9969,3.17,9.1,1
0.32,0.9938,3.5,9.7,1
0.41,0.9998,3.32,8.7,0
0.08,0.9972,3.37,8.9,0
0.4,0.9976,3.34,9.6,1
0.39,0.9976,3.31,9.5,1
0.38,0.9979,3.09,9,1
0.38,0.9979,3.09,9,1
0.38,0.9979,3.09,9,1
0.38,0.9979,3.09,9,1
0.32,0.9972,3.27,9.6,1
0.59,0.9918,3.34,11.1,1
0.21,0.9982,3.48,9.6,1
0.23,0.9985,3.2,8.7,0
0.26,0.9944,3.13,10.4,0
0.37,0.9903,3.15,11.4,1
0.34,0.9934,3.3,9.7,1
0.56,0.9975,3.14,8.7,0
0.36,0.9923,3.37,11.3,1
0.27,0.99,3.16,12.6,1
0.27,0.9905,3.25,10.9,1
0.26,0.9905,3.25,10.9,1
0.14,0.996,3.38,10,0
0.28,0.9964,3.72,10,0
0.21,0.998,3.02,9.8,0
0.56,0.9975,3.14,8.7,0
0.44,0.9913,3.53,11.7,0
0.39,0.9932,3.21,9.3,1
0.39,0.9935,3.32,9.6,1
0.3,0.9927,3.27,11,1
0.3,0.9927,3.27,11,1
0.39,0.9912,3.32,11.8,1
0.38,0.9904,3.28,11.4,0
0.35,0.9939,3.32,10.2,1
0.4,0.9996,2.93,8.9,0
0.4,0.9944,3.17,10.2,0
0.4,0.9977,3.08,9.6,1
0.35,0.9912,3.1,10.6,1
0.4,0.9996,2.93,8.9,0
0.26,0.9965,3.25,9.2,1
0.07,0.9944,3.34,9.7,0
,0.9945,3.34,9.7,1
0.07,0.9944,3.34,9.7,1
0.26,0.9965,3.25,9.2,1
0.07,0.9944,3.33,9.7,0
0.26,0.9972,3.29,9.3,0
0.3,0.9949,3.24,9,0
0.54,0.9966,3.05,9.5,0
0.41,0.9954,3.14,9.8,1
0.41,0.9954,3.14,9.8,1
0.4,0.9915,2.89,10.6,0
0.34,0.9919,3.05,10.6,0
0.49,0.9916,3.26,12.4,1
0.36,0.99,3.19,12.6,1
0.58,0.9909,3.3,12.3,1
0.37,0.9938,3.08,10.5,0
0.3,0.9982,3.19,9.3,0
0.24,0.9988,3.12,8.8,0
0.25,0.9961,3.08,8.8,0
0.33,0.9978,3.22,9.7,1
0.39,0.9979,2.98,9,1
0.39,0.9979,2.98,9,1
0.39,0.9979,2.98,9,1
0.39,0.9979,2.98,9,1
0.31,0.9945,3.52,10.5,1
0.42,1,2.96,9.1,0
0.22,0.9957,3.44,9.8,1
0.38,0.9968,3.23,8.5,0
0.27,0.9934,3.37,9.4,1
0.7,0.9976,3.09,9.4,0
0.46,0.9932,3.19,11.2,1
0.44,0.997,3.17,10,1
0.5,0.9923,3.15,10.3,1
0,0.9914,3.27,10.8,1
0.35,0.992,3.13,10.5,1
0,0.9914,3.27,10.8,1
0.21,0.9914,3.32,11.1,1
0.24,0.9949,3.2,9.9,1
0.24,0.9949,3.2,9.9,1
0.24,0.995,3.2,9.9,0
0.24,0.995,3.2,9.9,1
0.27,0.9927,3.2,10.4,1
0.26,0.9928,3.21,10.4,1
0.27,0.9917,3.4,11.5,1
0.14,0.9918,3.53,12.5,1
0.41,0.9954,3.36,10,1
0.21,0.9941,3.29,10,1
0.21,0.9941,3.29,10,0
0.6,0.9934,3.09,9.1,1
0.34,0.9927,3.21,10.6,1
0.35,0.9938,3.19,10.5,0
0.47,0.9933,3.52,11.5,1
0.25,0.9934,3.54,10.1,1
0.24,0.9927,3.61,10.3,1
0.35,0.9938,3.19,10.5,0
0.34,0.9927,3.21,10.6,1
0.44,0.9946,3.16,10.4,1
0.51,0.993,3.02,11.4,0
0.31,0.9946,3.18,10.5,0
0.41,0.9976,2.96,10,1
0.23,0.9944,3.19,10,1
0.35,0.9978,3.23,9.6,1
0.41,0.992,3.17,10.4,0
0.35,0.9912,3.36,12.5,1
0.34,0.9927,3.2,10.6,0
0.3,0.9906,3.28,11.8,1
0.34,0.9954,3.11,9.8,0
0.26,0.9923,3.25,10.8,0
0.3,0.9906,3.28,11.8,1
0.33,0.991,3.32,11.2,1
0.27,0.9972,3.28,9.3,1
0.4,0.9945,3.45,10.4,0
0.35,0.9934,3.43,10.2,1
0.43,0.9964,3.19,9,1
0.36,0.9948,3.2,10,1
0.42,0.9962,3.18,9.1,1
0.47,0.9931,3.29,10,0
0.47,0.993,3.29,10,1
0.33,0.9942,3.28,9.6,1
0.1,0.9906,3.36,11.2,1
0.41,0.9995,3.2,8.8,1
0.46,0.998,3.15,10,1
0.45,0.997,3.15,10,0
0.36,0.9914,3.27,11.4,1
0.4,0.992,3.03,11.9,1
0.3,0.9924,3.14,9.6,1
0.4,0.992,3.03,11.9,1
0.42,0.9937,3.25,9.6,1
0.37,0.9978,2.89,9,1
0.37,0.9978,2.89,9,1
0.33,0.9927,3.15,9.5,1
0.39,0.994,3,10.4,1
0.34,0.9935,3.2,10.6,1
0.32,0.9968,3.28,10.2,1
0.14,0.9941,3.15,8.9,0
0.3,0.9942,3.4,9.7,1
0.37,0.9978,2.89,9,1
0.4,0.9923,3.49,11.4,1
0.32,0.9912,3.4,12.3,1
0.27,0.9923,3.49,10.8,1
0.21,0.9927,3.12,9.4,1
0.48,0.9931,3.17,10.6,1
0.35,0.9941,3.17,11.6,0
0.21,0.9927,3.12,9.4,1
0.48,0.9931,3.17,10.6,1
0.19,0.9934,3.34,10,0
0.27,0.9936,3.1,9.2,1
0.22,0.9893,3.51,12.5,1
0.22,0.9893,3.51,12.5,1
0.28,0.9919,3.32,10.4,1
0.44,0.9924,3.15,10,1
0.5,0.9927,3.22,10,1
0.28,0.9919,3.32,10.4,1
0.44,0.9924,3.15,10,1
0.26,0.9975,3.1,9,1
0.28,0.9969,3.12,9.2,1
0.27,0.9936,3.1,9.2,1
0.39,0.991,3.38,11.3,1
0.22,0.9893,3.51,12.5,1
0.56,0.9906,3.48,10.8,1
0.35,0.9941,3.12,10.1,0
0.32,0.995,3.39,9.7,1
0.38,0.9983,3.18,9.3,1
0.38,0.9983,3.18,9.3,1
0.32,0.9916,3.1,10.6,0
0.15,0.9957,3.36,10.2,1
0.43,0.99,3.08,12.2,1
0.51,0.9976,3.19,8.8,0
0.12,0.992,3.18,10,0
0.42,0.9917,3.09,11.4,0
0.4,0.9917,3.46,11.4,1
0.27,0.9993,3.35,9.4,0
0.42,0.9908,3.3,11.7,1
0.4,0.9917,3.46,11.4,1
0.51,0.9976,3.19,8.8,0
0.07,0.9934,3.23,9.2,0
0.31,1,3.07,8.7,0
0.31,0.9918,3.24,12.6,1
0.12,0.992,3.18,10,0
0.34,0.9896,3.39,12.8,1
0.24,0.9932,3.17,9.4,0
0.39,0.992,3.26,10.3,1
0.42,0.9917,3.09,11.4,0
0.39,0.9999,2.97,9,1
0.36,0.998,3.3,9.6,1
0.39,0.9918,3.16,10.5,0
0.39,0.9918,3.16,10.5,0
0.39,0.9999,2.97,9,1
0.36,0.998,3.3,9.6,1
0.27,0.9927,3.19,9.8,1
0.22,0.9959,3.1,9,0
0.27,0.9927,3.19,9.8,1
0.28,0.9929,3.31,10.5,1
0.31,0.9898,3.16,12.7,1
0.28,0.9954,3.25,10.4,1
0.28,0.9954,3.25,10.4,1
0.28,0.9954,3.25,10.4,1
0.38,0.9954,3.34,10.5,1
0.28,0.9954,3.25,10.4,1
0.28,0.9954,3.25,10.4,1
0.5,0.9974,3.09,9.4,0
0.27,0.9936,3.06,9.1,0
0.47,0.9978,3.1,9.3,0
0.5,0.9974,3.09,9.4,0
0.1,0.9927,3.21,9.8,0
0.34,0.9934,3.18,9.9,1
0.09,0.9938,3.07,9.2,0
0.36,0.9922,3.35,12.1,1
0.37,0.992,3.38,12.2,1
0.32,0.9935,3.27,9.8,0
0.32,0.9906,3.35,12.4,1
0.34,0.9934,3.18,9.9,1
0.04,0.9934,3.26,9.2,0
0.37,0.9913,,11.6,1
0.2,0.9938,3.3,10.4,1
0.28,0.9898,3.43,12.9,1
0.44,0.9975,3.26,9.3,1
0.36,0.9975,3.2,11,1
0.32,0.9937,3.24,11.5,0
0.27,0.9914,3.53,12.4,0
0.24,0.9982,3.44,9.8,1
0.24,0.9982,3.44,9.8,1
0.29,0.9929,3.48,10.5,1
0.2,0.9971,3.03,9.1,0
0.25,0.9921,3.24,10.1,0
0.14,0.9931,3.46,10.6,1
0.27,0.9924,3.41,10.5,1
0.29,0.9929,3.48,10.5,1
0.24,0.9982,3.44,9.8,1
0.31,0.9892,3.3,12.9,1
0.27,0.9956,2.95,9.5,0
0.32,0.9924,3.29,9.8,1
0.35,0.9971,3.37,8.5,0
0.27,0.9956,2.95,9.5,0
0.29,0.9982,3.22,9.3,0
0.19,0.9973,3.35,9.5,0
0.21,0.9932,3.17,9.4,1
0.62,0.9976,3.16,8.7,0
0.58,0.9962,2.95,8.9,0
0.32,0.9956,3.22,9.4,1
0.21,0.9932,3.17,9.4,1
0.62,0.9976,3.16,8.7,0
0.53,0.9992,3.09,9.6,0
0.7,0.9983,3,9.3,1
0.34,0.9937,3.14,10,0
0.29,0.99,3.25,12.5,1
0.31,0.9944,3.36,9.6,1
0.22,0.9938,3.24,9.4,1
0.51,0.9965,3.03,9.5,0
0.36,0.9893,2.99,12.4,1
0.28,0.9927,3.11,10.5,1
0.13,0.994,2.97,9.2,1
0.33,0.9928,3.32,10.4,1
0.34,0.9964,3.22,9.2,0
0.41,0.9917,3.33,10.6,1
0.24,0.9972,3.34,9.5,0
0.34,0.9964,3.22,9.2,0
0.3,0.9954,3.29,9.6,0
0.38,0.993,3.47,9.7,1
0.37,0.9928,3.46,9.7,1
0.28,0.9916,3.1,10.7,1
0.29,0.9936,3.34,10.5,1
0.31,0.9962,3.13,8.9,1
0.36,0.9899,3.09,12.1,1
0.39,0.9898,3.25,12.7,1
0.26,0.996,3.18,9.9,1
0.28,0.9907,3.2,11.4,1
0.38,0.994,3.37,10.7,1
0.13,0.9913,3.33,12.5,1
0.62,0.9976,3.08,8.6,0
0.32,0.9904,3.29,12.5,1
0.34,0.992,3.27,10,0
0.62,0.9976,3.08,8.6,0
0.54,0.999,3.08,9.5,1
0.58,0.9975,3.12,9.6,1
0.3,0.9937,3.2,9.9,1
0.29,0.9937,3.19,9.9,0
0.31,0.998,3.06,8.9,1
0.31,0.998,3.06,8.9,1
0.26,0.9944,3.01,8.8,0
0.27,0.9938,3.64,10,1
0.28,0.9907,3.44,12,1
0.27,0.9938,3.64,10,1
0.12,0.9921,3.21,10,1
0.35,0.9908,3.11,12.1,1
0.36,0.9931,3.16,11,1
0.33,0.9915,3.21,11.2,1
0.32,0.9952,3.17,10.3,1
0.26,0.9926,3.37,10.4,1
0.37,0.9934,3.08,9.1,0
0.42,0.992,3,10.4,1
0.28,0.9918,3.43,10.8,1
0.34,0.9942,3.19,11.7,0
0.26,0.9942,3.05,9.8,0
0.26,0.9942,3.05,9.8,0
0.4,0.9901,3.03,11.4,1
0.32,0.9898,3.03,11.2,1
0.37,0.9902,3.37,11.4,0
0.39,0.9934,3.09,9.2,1
0.46,0.9906,3.04,12.5,0
0.22,0.9898,3.36,12.6,1
0.02,0.9896,3.44,12.2,1
0.47,0.9922,3.56,11.2,1
0.35,0.9947,3.43,9.7,1
0.48,0.9945,3.06,9.3,0
0.36,0.9976,3.01,9,1
0.36,0.9976,3.01,9,1
0.36,0.9976,3.01,9,1
0.51,0.9987,3.09,9.1,0
0.51,0.9987,3.09,9.1,0
0.36,0.9976,3.01,9,1
0.3,0.992,3.31,10.4,0
0.24,0.9955,3.37,9.5,1
0.31,0.9953,3.46,11.4,0
0.65,0.9976,3.16,8.7,0
0.35,0.992,3.34,9.9,1
0.41,0.9952,3.22,9.9,1
0.17,0.9983,3.21,9,1
0.22,0.9933,3.49,10,1
0.24,0.9958,3.49,9.7,1
0.42,0.9922,3.3,11.8,1
0.31,0.9928,3.49,10.2,1
0.65,0.9976,3.16,8.7,0
0.51,0.9976,3.07,9.6,1
0.34,0.9916,2.93,11.3,1
0.34,0.9901,3,12.1,1
0.51,0.9976,3.07,9.6,1
0.34,0.9901,3,12.1,1
0.34,0.9916,2.93,11.3,1
0.71,0.9982,2.98,9.4,0
0.24,0.993,3.32,10.4,1
0.24,0.9969,3.25,9.5,0
0.44,0.991,3.01,12.3,1
0.42,0.9953,3.12,9.9,1
0.1,0.9924,3.24,10.1,0
0.27,0.9969,3.09,9.2,1
0.22,0.9928,3.08,10.4,1
0.3,0.9945,3.2,9.1,0
0.38,0.9967,3.12,10,1
0.34,0.9944,3.13,11.5,1
0.5,0.9928,3.08,9.8,0
0.51,0.9929,3.08,9.8,1
0.27,0.9948,3.19,9.4,1
0.66,0.9976,3.05,8.7,0
0.29,0.9912,3.32,11.6,1
0.54,0.9987,3.04,8.8,0
0.34,0.99,3.16,12.7,1
0.33,0.991,3.17,11.7,1
0.3,0.9933,3.13,10.2,1
0.29,0.9933,3.13,10.2,1
0.33,0.9899,3.15,12.7,1
0.29,0.9912,3.32,11.6,1
0.26,0.9912,3.38,12.3,1
0.66,0.9976,3.05,8.7,0
0.22,0.994,3.35,9.4,0
0.22,0.9947,3.13,10.1,1
0.22,0.9954,2.86,9.7,1
0.3,0.993,3.42,10.1,1
0.22,0.9954,2.86,9.7,1
0.3,0.9963,3.13,8.9,1
0.25,0.992,,10.8,1
0.27,0.9926,3.42,10.8,1
0.33,0.995,3.19,9.5,1
0.5,0.9983,2.94,9.1,0
0.37,0.992,3.32,10.9,1
0.33,0.9968,3.2,9.4,0
0.07,0.9905,2.97,10.8,0
0.06,0.9904,2.97,10.8,0
0.38,0.9926,3.45,10.5,1
0.33,0.9968,3.2,9.4,0
0.37,0.9928,3.17,10.8,1
0.29,0.9949,3.35,10.5,1
0.4,0.9909,3.08,11.5,1
0.35,0.9937,3.11,9.4,1
0.4,0.9914,2.88,10.8,1
0.07,0.9905,2.97,10.8,0
0.06,0.9904,2.97,10.8,0
0.49,0.9924,2.99,9.8,1
0.49,0.9924,2.99,9.8,1
0.29,0.9965,3.43,9.6,0
0.29,0.9965,3.43,9.6,0
0.25,0.9993,3.34,9.5,0
0.35,0.9965,3.48,10.7,1
0.28,0.9908,3.25,12.4,1
0.4,0.992,3.09,11.1,1
0.68,0.9978,2.99,8.8,0
0.68,0.9978,3,8.7,0
0.68,0.9978,3,8.7,0
0.68,0.9978,2.99,8.8,0
0.33,0.9912,3.21,11.7,1
0.27,0.9928,3.23,10.9,1
0.27,0.9928,3.23,10.8,1
0.3,0.993,3.12,9.6,1
0.41,0.9993,3.18,9,0
0.43,0.9965,2.85,9,0
0.12,0.9937,3.36,10.4,1
0.34,0.9913,3.23,11.4,0
0.06,0.9934,3.26,9.3,0
0.29,0.9952,3.33,11,1
0.12,0.9983,3.32,9.1,0
0.24,0.9957,3.23,9.4,1
0.24,0.9957,3.23,9.4,1
0.33,0.9916,3.18,10.5,1
0.42,0.9999,3.22,8.8,0
0.42,0.9999,3.22,8.8,0
0.33,0.9936,3.26,10.7,1
0.2,0.9972,3.33,9.5,0
0.28,0.9933,3.43,10.9,1
0.25,0.9934,3.49,10.8,1
0.28,0.9931,3.41,10.8,1
0.25,0.9976,3.1,9.2,0
0.14,0.9937,3.3,10.3,0
0.14,0.9937,3.3,10.3,0
0.29,0.991,3.34,11,1
0.25,0.9979,3.25,9,0
0.33,0.9971,3.36,10.4,1
0.28,0.9969,3.31,9.5,0
0.29,0.9968,3.31,9.5,0
0.25,0.9961,3.24,9,0
0.72,0.993,3.09,9.5,0
0.34,0.9973,3.16,9,1
0.12,0.9944,3.16,10,0
0.34,0.9986,3.07,9.1,1
0.34,0.9986,3.07,9.1,1
0.34,0.9986,3.07,9.1,1
0.34,0.9986,3.07,9.1,1
0.26,0.9972,3.34,9.5,1
0.37,0.9917,3.33,11.4,1
0.35,0.992,3.11,12.2,1
0.35,0.9932,3.04,11.3,1
0.21,0.9936,3.25,10.2,0
0.25,0.9915,3.24,11.3,0
0.16,0.9922,3.15,10,0
0.26,0.9934,3.15,9.4,0
0.34,0.9952,3.37,12.2,1
0.1,0.9972,3.4,9.2,0
0.26,0.9934,3.15,9.4,0
0.38,0.9958,3.35,9.6,1
0.22,0.9944,3.28,9.5,0
0.37,0.9908,3.35,12.5,1
0.38,0.9958,3.35,9.6,1
0.25,0.9925,3.35,10,1
0.5,0.9966,3.18,9.3,0
0.26,0.9972,3.14,9.3,1
0.36,0.9912,3.29,11.6,1
0.34,0.995,3.38,12.5,1
0.3,0.9928,3.36,10.6,1
0.5,0.9968,3.08,9.4,0
0.25,0.9955,3.19,9.1,1
0.25,0.9981,3.23,9,1
0.38,0.991,3.42,11.8,1
0.38,0.991,3.42,11.8,1
0.38,0.991,3.42,11.8,1
0.14,0.992,3.17,10,0
0.69,0.9931,3.06,9.7,0
0.25,0.997,3.24,9.5,1
0.32,0.9948,3.12,9.4,0
0.31,0.9923,3.03,11.2,0
0.26,0.9976,3.25,9,0
0.35,0.9938,3.3,10.7,1
0.3,0.9984,3.08,9,0
0.3,0.9972,3.14,9.1,1
0.37,0.9922,3.26,10.8,1
0.34,0.9935,3.31,10.1,0
0.16,0.9944,3.17,9.9,1
0.16,0.9942,3.17,9.8,0
0.14,0.9944,3.17,9.8,0
0.58,0.9997,3.16,9.5,1
0.28,0.9977,3.23,9.5,0
0.34,0.9912,3.23,11.1,1
0.51,0.9982,,9.5,0
0.51,0.9982,3.06,9.5,0
0.48,0.9983,3.06,9.4,0
0.7,0.998,3.06,9.7,0
0.22,0.9894,3.41,13.9,1
0.18,0.9927,3.22,10.1,0
0.28,0.9917,3.12,10.5,1
0.26,0.9904,3.42,12.6,1
0.46,0.993,2.89,10.9,0
0.21,0.9941,3.15,10,0
0.45,0.9943,3.13,11.2,1
0.44,0.99855,3.11,10,1
0.21,0.99345,3.14,9.2,0
0.24,0.998,3.35,9.5,0
0.43,0.9916,3.1,12.3,1
0.43,0.9916,3.1,12.3,1
0.39,0.99475,3.32,10,0
0.26,0.99325,3.41,10.8,1
0.27,0.9933,3.49,10.5,1
0.31,0.9969,3.06,9.2,1
0.41,1.0002,2.96,9.1,0
0.27,0.9933,3.49,10.5,1
0.5,0.9937,3.45,10.2,1
0.44,0.99685,3.02,8.9,0
0.44,0.99455,3.5,10.4,0
0.34,0.9917,3.37,11.7,1
0.31,0.99035,3.26,12.4,1
0.4,0.9914,3.14,10.9,1
0.21,0.99225,3.15,10.2,0
0.31,0.99155,3.37,11.7,1
0.34,0.9954,2.99,9.4,0
0.31,0.99455,3.35,10.5,0
0.27,0.9924,3.12,9.4,0
0.33,0.99695,3.35,10.4,1
0.48,0.99655,3.25,9.5,1
0.45,0.9934,3.01,11.1,1
0.3,0.998,3.02,9.1,1
0.25,0.9971,3.28,9.2,0
0.3,0.9948,3.14,9.6,1
0.3,0.998,3.02,9.1,1
0.25,0.9971,3.28,9.2,0
0.31,0.99215,3.17,10.8,1
0.3,0.9948,3.14,9.6,1
0.4,0.9915,3.31,12.6,0
0.3,0.99115,3.44,11,1
0.37,0.9932,3.28,10.2,1
0.25,0.9977,3.33,9.4,0
0.27,0.99535,3.17,10,0
1.66,0.99165,3.26,12.2,1
0.34,0.9953,3.22,10.5,1
0.4,0.9928,3.04,11.5,1
0.38,0.9958,3.3,9.8,1
0.42,0.9928,3.04,11.4,1
0.4,0.9928,3.04,11.5,1
0.5,0.9964,3.15,10.2,1
0.42,0.9987,3.16,9.4,1
0.34,0.9953,3.22,10.5,1
